Epic,User Story,Task,Description,Team,Estimation (hours),Dependencies,Priority,Status,Sprint,Milestone,Implementation_Status,Details,Missing_Components
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-058: Integrar signals con widgets,Tracking automático en build methods,UI Framework,48,"TASK-029,TASK-054",P0,Completed,21,Vela 1.0,NO_IMPLEMENTADO,"No hay integración signals-widgets","Signal integration with widget build methods"
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-059: Implementar Virtual DOM,Representación intermedia del árbol de widgets,UI Framework,64,TASK-058,P0,Completed,21,Vela 1.0,NO_IMPLEMENTADO,"No hay Virtual DOM","Virtual DOM implementation"
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-060: Implementar diffing algorithm,Algoritmo para diff entre VDOMs,UI Framework,56,TASK-059,P0,Completed,21,Vela 1.0,NO_IMPLEMENTADO,"No hay diffing algorithm","VDOM diffing algorithm"
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-061: Implementar patching system,Aplicar patches al DOM real,UI Framework,48,TASK-060,P0,Completed,21,Vela 1.0,NO_IMPLEMENTADO,"No hay patching system","DOM patching system"
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-062: Tests de reconciliación reactiva,Tests de updates correctos en UI,QA,40,TASK-061,P0,Completed,21,Vela 1.0,NO_IMPLEMENTADO,"No hay tests (no hay sistema para testear)","Reactive reconciliation test suite"
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-063: Implementar TextStyle y styling APIs,Sistema de estilos para texto y componentes,UI Framework,32,TASK-057,P1,Completed,22,Vela 1.0,NO_IMPLEMENTADO,"No hay sistema de estilos","TextStyle and styling APIs"
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-064: Implementar Color y EdgeInsets,Tipos utilitarios para estilos,UI Framework,16,TASK-063,P1,Completed,22,Vela 1.0,NO_IMPLEMENTADO,"No hay tipos Color/EdgeInsets","Color and EdgeInsets type definitions"
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-065: Implementar Theme system,Context-based theming,UI Framework,40,TASK-064,P2,Completed,22,Vela 1.0,NO_IMPLEMENTADO,"No hay Theme system","Theme system with context"
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-066: Implementar Router widget,Router con soporte para rutas dinámicas,UI Framework,56,TASK-061,P1,Completed,22,Vela 1.0,NO_IMPLEMENTADO,"No hay Router widget","Router widget with dynamic routes"
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-067: Implementar Navigation API,"push, pop, replace, etc.",UI Framework,32,TASK-066,P1,Completed,22,Vela 1.0,NO_IMPLEMENTADO,"No hay Navigation API","Navigation API (push, pop, replace)"
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-068: Tests de navegación,Tests de routing correctness,QA,24,TASK-067,P1,Completed,22,Vela 1.0,NO_IMPLEMENTADO,"No hay tests (no hay sistema para testear)","Navigation test suite"
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-070: Implementar bytecode generator desde IR,Traducir Vela IR a bytecode,Compiler Backend,80,"TASK-010,TASK-069",P0,Completed,23,Vela 1.0,NO_IMPLEMENTADO,"No hay bytecode generator","Bytecode generator from IR"
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-074: Tests de VelaVM,Tests de correctness de bytecode execution,QA,56,TASK-073,P0,Completed,23,Vela 1.0,NO_IMPLEMENTADO,"No hay tests específicos de VelaVM","VelaVM test suite"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-076: Implementar cycle detection,Detector de ciclos para complementar ARC,VM,48,TASK-075,P0,Completed,24,Vela 1.0,NO_IMPLEMENTADO,"No hay cycle detection","Cycle detection algorithm"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-077: Integrar ARC con sistema reactivo,GC de signals y computed,VM,40,"TASK-076,TASK-034",P0,Completed,24,Vela 1.0,NO_IMPLEMENTADO,"No hay integración ARC-reactive","ARC integration with reactive system"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-078: Tests de memory management,Tests de leaks y correctness,QA,40,TASK-077,P0,Completed,24,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de memory management","Memory management test suite"
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-079: Implementar module resolution,Resolución de imports y paths,VM,32,TASK-074,P1,Completed,25,Vela 1.0,NO_IMPLEMENTADO,"No hay module resolution","Module resolution system"
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-080: Implementar bytecode loader,Carga de bytecode compilado,VM,24,TASK-079,P1,Completed,25,Vela 1.0,NO_IMPLEMENTADO,"No hay bytecode loader","Bytecode loader"
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-081: Tests de module system,Tests de imports y carga,QA,24,TASK-080,P1,Completed,25,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de module system","Module system test suite"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-083: Implementar Set<T>,Set con hash table,Stdlib,40,TASK-082,P0,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay Set<T>","Set<T> with hash table"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)","TASK-084: Implementar Dict<K,V>",Dictionary con hash table,Stdlib,48,TASK-083,P0,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay Dict<K,V>","Dict<K,V> with hash table"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-085: Implementar Queue y Stack,Estructuras de datos adicionales,Stdlib,24,TASK-082,P1,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay Queue/Stack","Queue and Stack implementations"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-086: Tests de colecciones,Tests exhaustivos de todas las colecciones,QA,40,TASK-085,P0,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de colecciones","Collection test suite"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-087: Implementar File API,Lectura/escritura de archivos,Stdlib,48,,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay File API","File I/O API"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-088: Implementar Directory API,Operaciones con directorios,Stdlib,24,TASK-087,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay Directory API","Directory operations API"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-089: Implementar HttpClient,Cliente HTTP básico,Stdlib,64,TASK-048,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay HttpClient","HTTP client implementation"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-090: Implementar WebSocket,Soporte para WebSockets,Stdlib,56,TASK-089,P2,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay WebSocket","WebSocket support"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-091: Tests de I/O y networking,Tests de correctness y error handling,QA,40,TASK-090,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de I/O","I/O and networking test suite"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-092: Implementar JSON parser,Parser de JSON,Stdlib,40,,P1,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay JSON parser","JSON parser implementation"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-093: Implementar JSON encoder,Serialización a JSON,Stdlib,32,TASK-092,P1,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay JSON encoder","JSON encoder implementation"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-094: Implementar JSON decorators para types,Serialización automática de tipos custom,Stdlib,48,TASK-093,P2,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay JSON decorators","JSON serialization decorators"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-095: Tests de JSON,Tests de parsing y encoding,QA,24,TASK-094,P1,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de JSON","JSON test suite"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-097: Implementar vela build,Compilación de proyectos,Tooling,48,"TASK-070,TASK-096",P0,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela build funcional","vela build command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-098: Implementar vela run,Ejecución de proyectos,Tooling,32,"TASK-097,TASK-074",P0,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela run","vela run command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-099: Implementar vela test,Runner de tests,Tooling,48,TASK-098,P1,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela test","vela test command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-100: Implementar vela fmt,Formatter de código,Tooling,40,TASK-096,P1,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela fmt","vela fmt command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-101: Implementar vela doctor,Diagnóstico de instalación,Tooling,24,TASK-096,P2,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela doctor","vela doctor command"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-103: Implementar vela install,Instalación de dependencias,Tooling,56,TASK-102,P1,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay vela install","vela install command"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-104: Implementar dependency resolution,Resolución de versiones y conflictos,Tooling,64,TASK-103,P1,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay dependency resolution","Dependency resolution algorithm"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-105: Implementar vela publish,Publicación de paquetes a registro,Tooling,40,TASK-104,P2,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay vela publish","vela publish command"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-106: Tests de package manager,Tests de instalación y resolución,QA,32,TASK-105,P1,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de package manager","Package manager test suite"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-108: Implementar textDocument/completion,Autocompletado de código,Tooling,56,"TASK-107,TASK-022",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/completion","LSP completion handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-109: Implementar textDocument/hover,Tooltips con información de tipos,Tooling,32,"TASK-107,TASK-020",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/hover","LSP hover handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-110: Implementar textDocument/definition,Go to definition,Tooling,40,"TASK-107,TASK-022",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/definition","LSP definition handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-111: Implementar textDocument/publishDiagnostics,Errores y warnings en tiempo real,Tooling,48,"TASK-107,TASK-012,TASK-020",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/publishDiagnostics","LSP diagnostics handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-112: Implementar textDocument/rename,Refactoring: renombrado,Tooling,40,TASK-111,P2,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/rename","LSP rename handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-113: Tests de LSP,Tests de protocolo y features,QA,32,TASK-112,P1,Completed,31,Vela 2.0,NO_IMPLEMENTADO,"No hay tests de LSP","LSP test suite"
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113A: Diseñar arquitectura del Event Bus,Sistema de eventos type-safe con subscriptions y unsubscriptions,Language Design,32,,P0,Completed,32,Vela 1.0,NO_IMPLEMENTADO,"No hay arquitectura de Event Bus","Event bus architecture design"
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113B: Implementar EventBus<T> core,Event bus genérico con type safety y múltiples listeners,Stdlib,64,TASK-113A,P0,Completed,32,Vela 1.0,NO_IMPLEMENTADO,"No hay EventBus<T>","EventBus<T> implementation"
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113C: Implementar EventEmitter interface,Interface para objetos emisores de eventos con on/emit/off,Stdlib,32,TASK-113B,P0,Completed,32,Vela 1.0,NO_IMPLEMENTADO,"No hay EventEmitter interface","EventEmitter interface"
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113D: Implementar Subscription type,Type para manejar subscripciones y unsubscribe automático,Stdlib,24,TASK-113C,P0,Completed,32,Vela 1.0,NO_IMPLEMENTADO,"No hay Subscription type","Subscription type"
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113E: Tests de Event System,"Tests de correctness, memory leaks y múltiples listeners",QA,40,TASK-113D,P0,Completed,32,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de Event System","Event system test suite"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113F: Diseñar arquitectura de validación,Sistema de validación declarativa con decoradores,Language Design,24,,P0,Completed,33,Vela 1.0,NO_IMPLEMENTADO,"No hay arquitectura de validación","Validation architecture design"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113G: Implementar decoradores de validación,"@notEmpty, @email, @min, @max, @length, @regex, @custom",Compiler Frontend,48,TASK-113F,P0,Completed,33,Vela 1.0,NO_IMPLEMENTADO,"No hay decoradores de validación","Validation decorators"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113H: Implementar Schema builder API,API fluent para construir schemas de validación programáticamente,Stdlib,40,TASK-113G,P0,Completed,33,Vela 1.0,NO_IMPLEMENTADO,"No hay Schema builder API","Schema builder API"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113I: Implementar ValidationErrors type,Type para errores de validación con mensajes detallados,Stdlib,24,TASK-113H,P0,Completed,33,Vela 1.0,NO_IMPLEMENTADO,"No hay ValidationErrors type","ValidationErrors type"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113J: Integrar validación con DTOs y formularios,Validación automática en controllers y UI,Stdlib,32,TASK-113I,P0,Completed,33,Vela 1.0,NO_IMPLEMENTADO,"No hay integración con DTOs/formularios","DTO/form validation integration"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113K: Tests de validación,Suite completa de tests para todos los validadores,QA,40,TASK-113J,P0,Completed,33,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de validación","Validation test suite"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113L: Diseñar arquitectura de logging,Logging estructurado con niveles y metadata,Language Design,24,,P0,Completed,34,Vela 1.0,NO_IMPLEMENTADO,"No hay arquitectura de logging","Logging architecture design"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113M: Implementar Logger class,"Logger con métodos debug, info, warn, error, fatal",Stdlib,48,TASK-113L,P0,Completed,34,Vela 1.0,NO_IMPLEMENTADO,"No hay Logger class","Logger class implementation"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113N: Implementar structured logging (JSON),Logs en formato JSON con metadata estructurada,Stdlib,32,TASK-113M,P0,Completed,34,Vela 1.0,NO_IMPLEMENTADO,"No hay structured logging","JSON structured logging"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113O: Implementar log transports,"Transports para console, file, syslog, HTTP",Stdlib,40,TASK-113N,P0,Completed,34,Vela 1.0,NO_IMPLEMENTADO,"No hay log transports","Log transport implementations"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113P: Implementar log filtering y sampling,"Filtros por nivel, tags y sampling para reducir volumen",Stdlib,32,TASK-113O,P1,Completed,34,Vela 1.0,NO_IMPLEMENTADO,"No hay log filtering/sampling","Log filtering and sampling"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113Q: Tests de logging system,"Tests de niveles, transports y performance",QA,32,TASK-113P,P0,Completed,34,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de logging","Logging test suite"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113R: Diseñar arquitectura de i18n,Sistema i18n con locale management y pluralización,Language Design,32,,P0,Completed,35,Vela 1.0,NO_IMPLEMENTADO,"No hay arquitectura de i18n","i18n architecture design"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113S: Implementar translation loader,Cargar traducciones desde JSON/YAML con fallback locale,Stdlib,40,TASK-113R,P0,Completed,35,Vela 1.0,NO_IMPLEMENTADO,"No hay translation loader","Translation loader"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113T: Implementar string interpolation en traducciones,"Variables, pluralización y formateo en traducciones",Stdlib,48,TASK-113S,P0,Completed,35,Vela 1.0,NO_IMPLEMENTADO,"No hay string interpolation en traducciones","Translation interpolation"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113U: Implementar date/number formatting por locale,"Formateo de fechas, números y moneda según locale",Stdlib,40,TASK-113T,P0,Completed,35,Vela 1.0,NO_IMPLEMENTADO,"No hay date/number formatting","Locale-based formatting"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113V: Implementar @i18n decorator y hot reload,Decorator para clases de traducción con hot reload,Compiler Frontend,32,TASK-113U,P1,Completed,35,Vela 1.0,NO_IMPLEMENTADO,"No hay @i18n decorator","@i18n decorator"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113W: Tests de i18n system,"Tests de traducciones, pluralización y formateo",QA,32,TASK-113V,P0,Completed,35,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de i18n","i18n test suite"
