EPIC,User Story,Task,Description,Team,Estimation (hours),Dependencies,Priority,Status,Sprint,Milestone,EstadoReal,DetalleFaltante
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-066: Implementar Router widget,Router con soporte para rutas dinámicas,UI Framework,56,TASK-061,P1,Completed,22,Vela 1.0,No Implementado,"Router widget no existe."
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-067: Implementar Navigation API,"push, pop, replace, etc.",UI Framework,32,TASK-066,P1,Completed,22,Vela 1.0,No Implementado,"Navigation API no existe."
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-068: Tests de navegación,Tests de routing correctness,QA,24,TASK-067,P1,Completed,22,Vela 1.0,No Implementado,"No hay tests. Sistema de navegación no existe."
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-069: Diseñar bytecode instruction set,Definir todos los opcodes necesarios,VM,40,,P0,Completed,23,Vela 1.0,Implementado,"Existe ADR-069-bytecode-instruction-set.md"
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-070: Implementar bytecode generator desde IR,Traducir Vela IR a bytecode,Compiler Backend,80,"TASK-010,TASK-069",P0,Completed,23,Vela 1.0,No Implementado,"Bytecode generator no está implementado."
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-071: Implementar VelaVM core (stack machine),Intérprete básico de bytecode,VM,96,TASK-070,P0,Completed,23,Vela 1.0,Parcial,"VelaVM existe parcialmente en vm/"
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-072: Implementar heap allocation,Heap para objetos dinámicos,VM,48,TASK-071,P0,Completed,23,Vela 1.0,No Implementado,"Heap allocation no está implementado completamente."
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-073: Implementar call stack,Stack de frames para funciones,VM,32,TASK-071,P0,Completed,23,Vela 1.0,No Implementado,"Call stack no está implementado."
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-074: Tests de VelaVM,Tests de correctness de bytecode execution,QA,56,TASK-073,P0,Completed,23,Vela 1.0,No Implementado,"No hay tests de VelaVM."
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-075: Implementar ARC (Automatic Reference Counting),Reference counting básico,VM,64,TASK-072,P0,Completed,24,Vela 1.0,Implementado,"Existe ADR-075-automatic-reference-counting.md"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-076: Implementar cycle detection,Detector de ciclos para complementar ARC,VM,48,TASK-075,P0,Completed,24,Vela 1.0,No Implementado,"Cycle detection no está implementado."
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-077: Integrar ARC con sistema reactivo,GC de signals y computed,VM,40,"TASK-076,TASK-034",P0,Completed,24,Vela 1.0,No Implementado,"Integración ARC-reactivo no existe."
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-078: Tests de memory management,Tests de leaks y correctness,QA,40,TASK-077,P0,Completed,24,Vela 1.0,No Implementado,"No hay tests de memory management."
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-079: Implementar module resolution,Resolución de imports y paths,VM,32,TASK-074,P1,Completed,25,Vela 1.0,No Implementado,"Module resolution no está implementado."
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-080: Implementar bytecode loader,Carga de bytecode compilado,VM,24,TASK-079,P1,Completed,25,Vela 1.0,No Implementado,"Bytecode loader no existe."
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-081: Tests de module system,Tests de imports y carga,QA,24,TASK-080,P1,Completed,25,Vela 1.0,No Implementado,"No hay tests del module system."
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-082: Implementar List<T>,Lista dinámica con métodos estándar,Stdlib,56,,P0,Completed,26,Vela 1.0,Parcial,"List<T> existe parcialmente en stdlib/"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-083: Implementar Set<T>,Set con hash table,Stdlib,40,TASK-082,P0,Completed,26,Vela 1.0,No Implementado,"Set<T> no está implementado."
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)","TASK-084: Implementar Dict<K,V>",Dictionary con hash table,Stdlib,48,TASK-083,P0,Completed,26,Vela 1.0,No Implementado,"Dict<K,V> no está implementado."
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-085: Implementar Queue y Stack,Estructuras de datos adicionales,Stdlib,24,TASK-082,P1,Completed,26,Vela 1.0,No Implementado,"Queue y Stack no existen."
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-086: Tests de colecciones,Tests exhaustivos de todas las colecciones,QA,40,TASK-085,P0,Completed,26,Vela 1.0,No Implementado,"No hay tests de colecciones."
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-087: Implementar File API,Lectura/escritura de archivos,Stdlib,48,,P1,Completed,27,Vela 1.0,No Implementado,"File API no está implementada."
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-088: Implementar Directory API,Operaciones con directorios,Stdlib,24,TASK-087,P1,Completed,27,Vela 1.0,No Implementado,"Directory API no existe."
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-089: Implementar HttpClient,Cliente HTTP básico,Stdlib,64,TASK-048,P1,Completed,27,Vela 1.0,No Implementado,"HttpClient no está implementado."
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-090: Implementar WebSocket,Soporte para WebSockets,Stdlib,56,TASK-089,P2,Completed,27,Vela 1.0,No Implementado,"WebSocket no está implementado."
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-091: Tests de I/O y networking,Tests de correctness y error handling,QA,40,TASK-090,P1,Completed,27,Vela 1.0,No Implementado,"No hay tests de I/O y networking."
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-092: Implementar JSON parser,Parser de JSON,Stdlib,40,,P1,Completed,28,Vela 1.0,No Implementado,"JSON parser no está implementado."
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-093: Implementar JSON encoder,Serialización a JSON,Stdlib,32,TASK-092,P1,Completed,28,Vela 1.0,No Implementado,"JSON encoder no existe."
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-094: Implementar JSON decorators para types,Serialización automática de tipos custom,Stdlib,48,TASK-093,P2,Completed,28,Vela 1.0,No Implementado,"JSON decorators no están implementados."
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-095: Tests de JSON,Tests de parsing y encoding,QA,24,TASK-094,P1,Completed,28,Vela 1.0,No Implementado,"No hay tests de JSON."
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-096: Implementar vela create,Comando para crear proyectos,Tooling,32,,P0,Completed,29,Vela 1.0,Parcial,"CLI existe parcialmente en tooling/cli/"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-097: Implementar vela build,Compilación de proyectos,Tooling,48,"TASK-070,TASK-096",P0,Completed,29,Vela 1.0,No Implementado,"vela build no está implementado."
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-098: Implementar vela run,Ejecución de proyectos,Tooling,32,"TASK-097,TASK-074",P0,Completed,29,Vela 1.0,No Implementado,"vela run no está implementado."
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-099: Implementar vela test,Runner de tests,Tooling,48,TASK-098,P1,Completed,29,Vela 1.0,No Implementado,"vela test no está implementado."
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-100: Implementar vela fmt,Formatter de código,Tooling,40,TASK-096,P1,Completed,29,Vela 1.0,No Implementado,"vela fmt no existe."
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-101: Implementar vela doctor,Diagnóstico de instalación,Tooling,24,TASK-096,P2,Completed,29,Vela 1.0,No Implementado,"vela doctor no está implementado."
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-102: Diseñar manifest format (vela.yaml),Formato del archivo de proyecto,Tooling,16,,P1,Completed,30,Vela 1.0,Implementado,"Existe ADR-102-manifest-format.md"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-103: Implementar vela install,Instalación de dependencias,Tooling,56,TASK-102,P1,Completed,30,Vela 1.0,No Implementado,"vela install no está implementado."
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-104: Implementar dependency resolution,Resolución de versiones y conflictos,Tooling,64,TASK-103,P1,Completed,30,Vela 1.0,No Implementado,"Dependency resolution no existe."
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-105: Implementar vela publish,Publicación de paquetes a registro,Tooling,40,TASK-104,P2,Completed,30,Vela 1.0,No Implementado,"vela publish no está implementado."
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-106: Tests de package manager,Tests de instalación y resolución,QA,32,TASK-105,P1,Completed,30,Vela 1.0,No Implementado,"No hay tests del package manager."
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-107: Implementar LSP server base,Servidor LSP básico con protocolo,Tooling,64,,P1,Completed,31,Vela 1.0,Parcial,"LSP server existe parcialmente en tooling/lsp/"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-108: Implementar textDocument/completion,Autocompletado de código,Tooling,56,"TASK-107,TASK-022",P1,Completed,31,Vela 1.0,No Implementado,"textDocument/completion no está implementado."
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-109: Implementar textDocument/hover,Tooltips con información de tipos,Tooling,32,"TASK-107,TASK-020",P1,Completed,31,Vela 1.0,No Implementado,"textDocument/hover no está implementado."
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-110: Implementar textDocument/definition,Go to definition,Tooling,40,"TASK-107,TASK-022",P1,Completed,31,Vela 1.0,No Implementado,"textDocument/definition no existe."
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-111: Implementar textDocument/publishDiagnostics,Errores y warnings en tiempo real,Tooling,48,"TASK-107,TASK-012,TASK-020",P1,Completed,31,Vela 1.0,No Implementado,"textDocument/publishDiagnostics no está implementado."
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-112: Implementar textDocument/rename,Refactoring: renombrado,Tooling,40,TASK-111,P2,Completed,31,Vela 1.0,No Implementado,"textDocument/rename no está implementado."
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-113: Tests de LSP,Tests de protocolo y features,QA,32,TASK-112,P1,Completed,31,Vela 1.0,No Implementado,"No hay tests del LSP."
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113A: Diseñar arquitectura del Event Bus,Sistema de eventos type-safe con subscriptions y unsubscriptions,Language Design,32,,P0,Completed,32,Vela 1.0,Implementado,"Existe ADR-113A-event-system.md"
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113B: Implementar EventBus<T> core,Event bus genérico con type safety y múltiples listeners,Stdlib,64,TASK-113A,P0,Completed,32,Vela 1.0,No Implementado,"EventBus<T> no existe en stdlib/."
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113C: Implementar EventEmitter interface,Interface para objetos emisores de eventos con on/emit/off,Stdlib,32,TASK-113B,P0,Completed,32,Vela 1.0,No Implementado,"EventEmitter interface no existe."
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113D: Implementar Subscription type,Type para manejar subscripciones y unsubscribe automático,Stdlib,24,TASK-113C,P0,Completed,32,Vela 1.0,No Implementado,"Subscription type no está implementado."
EPIC-09A: Event System,"US-24A: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-113E: Tests de Event System,"Tests de correctness, memory leaks y múltiples listeners",QA,40,TASK-113D,P0,Completed,32,Vela 1.0,No Implementado,"No hay tests del Event System."
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113F: Diseñar arquitectura de validación,Sistema de validación declarativa con decoradores,Language Design,24,,P0,Completed,33,Vela 1.0,Implementado,"Existe ADR-113F-validation-architecture.md"
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113G: Implementar decoradores de validación,"@notEmpty, @email, @min, @max, @length, @regex, @custom",Compiler Frontend,48,TASK-113F,P0,Completed,33,Vela 1.0,No Implementado,"Decoradores de validación no están implementados."
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113H: Implementar Schema builder API,API fluent para construir schemas de validación programáticamente,Stdlib,40,TASK-113G,P0,Completed,33,Vela 1.0,No Implementado,"Schema builder API no existe."
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113I: Implementar ValidationErrors type,Type para errores de validación con mensajes detallados,Stdlib,24,TASK-113H,P0,Completed,33,Vela 1.0,No Implementado,"ValidationErrors type no está implementado."
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113J: Integrar validación con DTOs y formularios,Validación automática en controllers y UI,Stdlib,32,TASK-113I,P0,Completed,33,Vela 1.0,No Implementado,"Integración con DTOs y formularios no existe."
EPIC-09B: Validation System,"US-24B: Como desarrollador, quiero validación de datos integrada para seguridad",TASK-113K: Tests de validación,Suite completa de tests para todos los validadores,QA,40,TASK-113J,P0,Completed,33,Vela 1.0,No Implementado,"No hay tests de validación."
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113L: Diseñar arquitectura de logging,Logging estructurado con niveles y metadata,Language Design,24,,P0,Completed,34,Vela 1.0,Implementado,"Existe ADR-113L-logging-architecture.md"
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113M: Implementar Logger class,"Logger con métodos debug, info, warn, error, fatal",Stdlib,48,TASK-113L,P0,Completed,34,Vela 1.0,No Implementado,"Logger class no existe en stdlib/."
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113N: Implementar structured logging (JSON),Logs en formato JSON con metadata estructurada,Stdlib,32,TASK-113M,P0,Completed,34,Vela 1.0,No Implementado,"Structured logging no está implementado."
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113O: Implementar log transports,"Transports para console, file, syslog, HTTP",Stdlib,40,TASK-113N,P0,Completed,34,Vela 1.0,No Implementado,"Log transports no existen."
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113P: Implementar log filtering y sampling,"Filtros por nivel, tags y sampling para reducir volumen",Stdlib,32,TASK-113O,P1,Completed,34,Vela 1.0,No Implementado,"Log filtering no está implementado."
EPIC-09C: Logging System,"US-24C: Como desarrollador, quiero logging estructurado para debugging y observabilidad",TASK-113Q: Tests de logging system,"Tests de niveles, transports y performance",QA,32,TASK-113P,P0,Completed,34,Vela 1.0,No Implementado,"No hay tests del logging system."
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113R: Diseñar arquitectura de i18n,Sistema i18n con locale management y pluralización,Language Design,32,,P0,Completed,35,Vela 1.0,Implementado,"Existe ADR-113R-arquitectura-sistema-i18n.md"
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113S: Implementar translation loader,Cargar traducciones desde JSON/YAML con fallback locale,Stdlib,40,TASK-113R,P0,Completed,35,Vela 1.0,No Implementado,"Translation loader no está implementado."
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113T: Implementar string interpolation en traducciones,"Variables, pluralización y formateo en traducciones",Stdlib,48,TASK-113S,P0,Completed,35,Vela 1.0,No Implementado,"String interpolation en traducciones no existe."
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113U: Implementar date/number formatting por locale,"Formateo de fechas, números y moneda según locale",Stdlib,40,TASK-113T,P0,Completed,35,Vela 1.0,No Implementado,"Date/number formatting por locale no está implementado."
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113V: Implementar @i18n decorator y hot reload,Decorator para clases de traducción con hot reload,Compiler Frontend,32,TASK-113U,P1,Completed,35,Vela 1.0,No Implementado,"@i18n decorator no está implementado."
EPIC-09D: i18n System,"US-24D: Como desarrollador, quiero internacionalización para apps globales",TASK-113W: Tests de i18n system,"Tests de traducciones, pluralización y formateo",QA,32,TASK-113V,P0,Completed,35,Vela 1.0,No Implementado,"No hay tests del i18n system."
